Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
.hack//G.U. Vol.1//Rebirth,2006,Role-Playing,6.6,0.17,PS2,3,3
.hack//G.U. Vol.2//Reminisce,2007,Role-Playing,6.2,0.23,PS2,3,3
.hack//G.U. Vol.3//Redemption,2007,Role-Playing,5.7,0.17,PS2,3,3
.hack//Infection Part 1,2003,Role-Playing,7.7,1.27,PS2,2,3
.hack//Mutation Part 2,2003,Role-Playing,7.5,0.68,PS2,2,3
.hack//Outbreak Part 3,2003,Role-Playing,7.1,0.46,PS2,2,3
.hack//Quarantine Part 4: The Final Chapter,2004,Role-Playing,6.8,0.18,PS2,2,3
007 Legends,2012,Shooter,4.2,0.13,WiiU,3,2
007 Racing,2000,Racing,6.1,0.53,PS,3,2
007: Quantum of Solace,2008,Shooter,6.6,3.86,Multi_Plateforme,3,3
007: The World is Not Enough,2000,Shooter,7.4,1.55,N64,3,3
007: The World is not Enough,2000,Shooter,6.4,0.92,PS,3,3
007: Tomorrow Never Dies,1999,Shooter,6.2,3.21,PS,3,3
1-2-Switch,2017,Party,5.7,2.46,NS,3,3
100 Classic Books,2010,Misc,4.0,0.67,DS,3,3
1080°: TenEighty Snowboarding,1998,Sports,9.1,2.03,N64,3,3
1701 A.D.,2006,Simulation,7.7,0.29,PC,2,1
18 Wheeler: American Pro Trucker,2001,Racing,5.0,0.51,GC,3,2
2002 FIFA World Cup,2002,Sports,7.4,0.64,GC,3,3
2010 FIFA World Cup South Africa,2010,Sports,6.8,2.9699999999999998,Multi_Plateforme,3,3
2014 FIFA World Cup Brazil,2014,Sports,7.3,1.1,PS3,3,3
2Xtreme,1996,Sports,8.3,1.4,PS,3,2
300: March to Glory,2007,Action,4.9,0.41,PSP,3,1
3D Baseball,1996,Sports,7.6,0.03,PS,2,3
3D Dot Game Heroes,2010,Role-Playing,7.5,0.57,PS3,3,2
3D Lemmings,1995,Puzzle,7.0,0.06,PS,2,0
3Xtreme,1999,Action,2.9,0.9,PS,3,3
40 Winks,1999,Platform,5.5,0.31,PS,3,3
4X4 EVO 2,2002,Racing,5.1,0.14,GC,3,3
50 Cent: Blood on the Sand,2009,Shooter,7.2,0.4,PS3,3,1
50 Cent: Bulletproof,2006,Action,5.5,0.09,PSP,2,3
7 Wonders of the Ancient World,2007,Puzzle,5.4,0.08,PSP,1,0
7th Dragon III Code: VFD,2016,Role-Playing,7.5,0.24,3DS,3,3
"999: Nine Hours, Nine Persons, Nine Doors",2010,Adventure,7.9,0.37,DS,2,3
A Boy and His Blob,2009,Platform,7.9,0.21,Wii,3,2
A Bug's Life,1998,Platform,3.6,3.42,N64,3,3
A Collection of Activision Classic Games for the Atari 2600,1998,Misc,3.8,1.37,PS,3,2
A Collection of Intellivision Classic Games,1999,Misc,4.3,0.31,PS,3,1
A Game of Thrones: Genesis,2011,Strategy,4.9,0.03,PC,1,0
