Name,Year,Genre,Publisher,Studio,Critic_Score,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform
.hack//G.U. Vol.1//Rebirth,2006,Role-Playing,Namco Bandai,CyberConnect2,6.6,0.0,0.0,0.17,0.0,0.17,PS2
.hack//G.U. Vol.2//Reminisce,2007,Role-Playing,Namco Bandai,CyberConnect2,6.2,0.11,0.09,0.0,0.03,0.23,PS2
.hack//G.U. Vol.3//Redemption,2007,Role-Playing,Namco Bandai,CyberConnect2,5.7,0.0,0.0,0.17,0.0,0.17,PS2
.hack//Infection Part 1,2003,Role-Playing,Bandai,CyberConnect2,7.7,0.49,0.38,0.26,0.13,1.27,PS2
.hack//Mutation Part 2,2003,Role-Playing,Bandai,CyberConnect2,7.5,0.23,0.18,0.2,0.06,0.68,PS2
.hack//Outbreak Part 3,2003,Role-Playing,Bandai,CyberConnect2,7.1,0.14,0.11,0.17,0.04,0.46,PS2
.hack//Quarantine Part 4: The Final Chapter,2004,Role-Playing,Bandai,CyberConnect2,6.8,0.09,0.07,0.0,0.02,0.18,PS2
007 Legends,2012,Shooter,Activision,Eurocom,4.2,0.06,0.06,0.0,0.01,0.13,WiiU
007 Racing,2000,Racing,Electronic Arts,Eutechnyx,6.1,0.3,0.2,0.0,0.03,0.53,PS
007: Quantum of Solace,2008,Shooter,Activision,Treyarch,6.6,1.8299999999999998,1.32,0.04,0.67,3.86,Multi_Plateforme
007: The World is Not Enough,2000,Shooter,Electronic Arts,Eurocom Entertainment Software,7.4,1.13,0.38,0.02,0.03,1.55,N64
007: The World is not Enough,2000,Shooter,Electronic Arts,Black Ops Entertainment,6.4,0.51,0.35,0.0,0.06,0.92,PS
007: Tomorrow Never Dies,1999,Shooter,Electronic Arts,Black Ops Entertainment,6.2,1.72,1.33,0.0,0.16,3.21,PS
1-2-Switch,2017,Party,Nintendo,Nintendo EPD,5.7,0.62,1.2,0.5,0.15,2.46,NS
100 Classic Books,2010,Misc,Nintendo,Genius Sonority Inc.,4.0,0.12,0.52,0.0,0.02,0.67,DS
1080°: TenEighty Snowboarding,1998,Sports,Nintendo,Nintendo EAD,9.1,1.25,0.61,0.13,0.05,2.03,N64
1701 A.D.,2006,Simulation,Aspyr,Related Designs,7.7,0.0,0.25,0.0,0.03,0.29,PC
18 Wheeler: American Pro Trucker,2001,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,5.0,0.29000000000000004,0.16999999999999998,0.0,0.05,0.51,GC
2002 FIFA World Cup,2002,Sports,EA Sports,EA Canada,7.4,0.25,0.18000000000000002,0.16,0.06,0.64,GC
2010 FIFA World Cup South Africa,2010,Sports,EA Sports,EA Canada,6.8,0.94,1.44,0.13,0.47,2.9699999999999998,Multi_Plateforme
2014 FIFA World Cup Brazil,2014,Sports,EA Sports,EA Canada,7.3,0.3,0.65,0.01,0.13,1.1,PS3
2Xtreme,1996,Sports,Sony Computer Entertainment,SCEA,8.3,1.15,0.2,0.0,0.05,1.4,PS
300: March to Glory,2007,Action,Warner Bros. Interactive,Collision Studios,4.9,0.27,0.08,0.0,0.07,0.41,PSP
3D Baseball,1996,Sports,Mindscape,Crystal Dynamics,7.6,0.02,0.01,0.0,0.0,0.03,PS
3D Dot Game Heroes,2010,Role-Playing,Atlus,Silicon Studio,7.5,0.36,0.12,0.03,0.07,0.57,PS3
3D Lemmings,1995,Puzzle,Psygnosis,Clockwork Games,7.0,0.03,0.02,0.0,0.0,0.06,PS
